epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.316,0.77695,1.10555,0.92974,0.93081,0.95432,0.97825,0.78436,0.665,0.80428,0.90189,0.000665017,0.000665017,0.000665017
2,326.605,0.76352,0.64659,0.92173,0.95219,0.96872,0.9855,0.80698,0.67829,0.53286,0.88417,0.00126576,0.00126576,0.00126576
3,475.077,0.7561,0.57933,0.92047,0.97638,0.96524,0.99003,0.81531,0.66741,0.43058,0.87949,0.00180051,0.00180051,0.00180051
4,622.146,0.72165,0.52386,0.90864,0.97548,0.96808,0.99224,0.8392,0.60469,0.39799,0.86467,0.001703,0.001703,0.001703
5,818.333,0.7067,0.49321,0.90567,0.98024,0.98519,0.99402,0.82564,0.63191,0.39442,0.88269,0.001604,0.001604,0.001604
6,990.742,0.6889,0.47072,0.89913,0.98316,0.9856,0.99332,0.83674,0.61236,0.38431,0.87359,0.001505,0.001505,0.001505
7,1182.19,0.66394,0.449,0.89102,0.98775,0.98213,0.99447,0.84767,0.56819,0.34901,0.85985,0.001406,0.001406,0.001406
8,1395.06,0.66011,0.43327,0.88992,0.98872,0.99156,0.99437,0.84812,0.5826,0.35101,0.85942,0.001307,0.001307,0.001307
9,1637.21,0.64623,0.41948,0.88492,0.98267,0.99305,0.99444,0.85338,0.55657,0.32792,0.8577,0.001208,0.001208,0.001208
10,1881.22,0.62739,0.40325,0.87907,0.9965,0.98929,0.99477,0.85519,0.5681,0.3175,0.8524,0.001109,0.001109,0.001109
11,2148.52,0.54787,0.34199,0.84232,0.99451,0.99028,0.99465,0.83977,0.60894,0.331,0.86683,0.00101,0.00101,0.00101
12,2401.36,0.5336,0.32842,0.83863,0.99109,0.99393,0.99471,0.86412,0.54357,0.30951,0.85011,0.000911,0.000911,0.000911
13,2643.23,0.52797,0.31816,0.83605,0.9919,0.99603,0.99476,0.85423,0.54524,0.30253,0.85524,0.000812,0.000812,0.000812
14,2888.4,0.51216,0.31016,0.83187,0.99354,0.98957,0.99486,0.86146,0.53903,0.29364,0.852,0.000713,0.000713,0.000713
15,3125.5,0.5052,0.2999,0.82949,0.99682,0.99752,0.99489,0.86983,0.51583,0.27802,0.84582,0.000614,0.000614,0.000614
16,3348.56,0.49506,0.28971,0.82562,0.99788,0.99355,0.99493,0.86494,0.5248,0.27372,0.8475,0.000515,0.000515,0.000515
17,3604.73,0.4838,0.27835,0.82416,0.9991,0.99355,0.99491,0.86682,0.52158,0.26682,0.84756,0.000416,0.000416,0.000416
18,3830.67,0.47642,0.27126,0.8206,0.99651,0.99375,0.99496,0.86199,0.5219,0.26415,0.84624,0.000317,0.000317,0.000317
19,4036.9,0.46753,0.26159,0.81778,0.99801,0.99631,0.99496,0.86673,0.50893,0.25536,0.84403,0.000218,0.000218,0.000218
20,4268.67,0.45717,0.253,0.81559,0.9985,0.9935,0.99496,0.86983,0.51468,0.25659,0.84579,0.000119,0.000119,0.000119
